year,country,iso,trade,exports,imports,ggfce,gfcf,industry,manufact,unempl,agriculture,rgdp_growth,infl_cpi,oil,gold,copper,sp500
2020,Austria,AUT,99.9989428466519,51.4350078993873,48.5639349472647,21.199544258819,25.2473501568172,25.4578528514247,16.2641408100842,5.3600001335144,1.09990874209402,-6.734514076087672,1.3819106335189568,41.67893282,1788.324734,6236.792034,3714.39
2021,Austria,AUT,110.993185593699,55.948880536434,55.0443050572646,21.4745761110947,25.5577732854637,25.7181618394784,16.5592505132317,6.17999982833862,1.0958537540791,4.483969205764571,2.766666666666606,68.67853022,1789.41497,9264.169006,4239.2
1987,Bangladesh,BGD,16.6877976312963,4.99004963895921,11.6977479923371,4.14317368059806,15.4734420283602,19.6008172704812,13.4738066523374,0.9466666579246523,32.6639009291872,3.772401852527185,9.874696091266388,24.12040351,593.4749127,2369.397914,695.25
1988,Bangladesh,BGD,17.6780643099612,5.42830096531266,12.2497633446486,4.16537536251982,15.7359830693445,19.9362085702399,13.4220311565061,0.9333333373069767,31.3191777996177,2.416256855662313,7.412765957446621,18.37158451,545.5388017,3247.496296,632.84
1989,Bangladesh,BGD,18.3251740190693,5.54014371794136,12.7850303011279,4.15394423380197,16.1209144348967,19.7867069022062,12.905630532973,0.920000016689301,30.5616428363458,2.836582129079135,6.045479755962391,22.4013392,478.9861186,3576.915524,688.86
1990,Bangladesh,BGD,18.9665020125385,5.90831648660892,13.0581855259296,4.05325016763114,16.4586755151535,20.1456258361335,13.2392185487661,1.5600000321865104,30.4898330963098,5.622258161607108,6.126718469814629,27.67450646,463.8390419,3219.313698,780.0
1991,Bangladesh,BGD,18.8898268850747,6.66261196863293,12.2272149164418,4.13633163394744,16.8959474633294,21.1195045357667,13.9871226949763,2.20000004768372,31.6770232352381,3.485227815355163,6.357364122782361,23.64830939,442.1598013,2855.233495,706.83
1992,Bangladesh,BGD,19.9340055024511,7.58667691037111,12.3473285920799,4.45122187024089,17.3050292766937,21.71789053342,14.3974636880063,2.2620000362396278,30.5175252361271,5.442685550721271,3.6340769179848964,22.7949621,411.9371726,2733.786571,880.66
1993,Bangladesh,BGD,23.1215830698982,9.01726903574974,14.1043140341485,4.95383869591304,17.9468320109013,22.9342560517422,15.4125383554188,2.3240000247955357,27.3210858173117,4.711561724494606,3.0148185998979837,19.51014539,416.7737757,2216.194195,892.12
1994,Bangladesh,BGD,22.8658645545703,9.00154364628231,13.864320908288,4.88315945317799,18.402556188374,23.4699924276778,15.8694546558521,2.386000013351444,26.7255375508155,3.890126440656294,5.313740079365004,18.97370477,458.6313885,2755.786305,945.64
1995,Bangladesh,BGD,28.2094960764218,10.864634213863,17.3448618625588,4.62988612520877,19.1197958221399,23.5808244521571,15.9000068464472,2.448000001907352,27.3043698025967,5.1212778971616135,10.297811794720534,18.69378419,417.9329987,3193.651713,904.8
1996,Bangladesh,BGD,26.0760877233809,9.70650764952346,16.3695800738575,4.72749921814699,20.7299506037379,21.6839165728619,14.0026451377167,2.50999999046326,23.266208049769,4.522919217623489,2.3771290295322434,22.64645904,429.9675714,2545.072356,1163.16
1997,Bangladesh,BGD,26.3255133900833,10.5203705573506,15.8051428327327,4.90298208959861,21.8162145054057,21.8626700944451,14.1197806636013,2.6999999880790724,23.2461437492233,4.489896497356405,5.305601056688025,22.31211275,385.3440666,2649.802377,1407.69
1998,Bangladesh,BGD,27.8800634028394,11.7573312287186,16.1227321741207,5.12567978040796,22.1214128239602,22.6607423702209,14.8598311637206,2.8899999856948853,22.5874157614312,5.1770268734524505,8.402237956132307,15.89910408,357.9864969,2012.948297,1742.49
1999,Bangladesh,BGD,28.3879405571158,11.7586423857313,16.6292981713845,5.03961520253427,22.7213703034657,22.3758655367007,14.3890950793257,3.0799999833106977,22.6584111161909,4.670156368278677,6.106695898419567,22.42347394,345.9033778,1951.648771,2221.61
2000,Bangladesh,BGD,29.3217143619038,12.3442012279919,16.9775131339119,4.97312138319291,23.8085625731369,22.2793826819325,14.035315753916,3.26999998092651,22.7181480755923,5.293294718460406,2.2082562093753477,35.48246795,350.7201759,2279.383672,2468.57
2001,Bangladesh,BGD,32.0980170730117,13.3865592080649,18.7114578649468,4.84565983723317,24.1743067306933,22.5838118742213,14.1783570229665,3.6200000445048,21.8483405815259,5.077287775972983,2.007173742138413,31.8004934,353.878578,2061.050772,2229.58
2002,Bangladesh,BGD,28.9673807211649,12.4099689322019,16.557411788963,5.02264856478482,24.3414161366729,22.8392543728467,14.3174375493986,3.97000010808309,20.5841344226366,3.8331239400562156,3.3325649327190954,32.93713439,409.5668123,2060.543905,1881.87
2003,Bangladesh,BGD,27.657884900158,11.4311486959413,16.2267362042167,5.12829861719188,24.6791888612834,22.4741487860882,14.1454615609431,4.32000017166138,19.8127182977042,4.739567399164413,5.668707734414791,36.29696071,456.5667373,2234.602113,1441.11
2004,Bangladesh,BGD,26.8582341492431,11.1465089461353,15.7117252031078,5.17438311061483,24.9918339447004,22.7797200060528,14.44207318664,4.28500008583069,19.2669595662859,5.239532910452249,7.587536385046878,44.37860746,481.2777578,3370.595366,1787.42
2005,Bangladesh,BGD,34.396934864465,14.3928418979283,20.0040929665367,5.18022516467283,25.8304355145863,23.2998442190711,14.743998758061,4.25,18.5710395455964,6.53594494052363,7.046618162220408,60.87616006,507.2071291,4194.635171,1810.81
2006,Bangladesh,BGD,38.1119244325921,16.3534635652888,21.7584608673034,5.44007855680545,26.1441457474299,24.0953205119221,15.3075621798679,3.58999991416931,18.0340165108542,6.671904981482268,6.765261170547587,71.49005651,672.0356633,7475.171698,1884.86
2007,Bangladesh,BGD,39.9423826531735,16.9953348464905,22.9470478066831,5.35945621469055,26.1784970672047,24.5005410079343,15.9340729924007,4.05999994277954,17.8065367823955,7.058599356572559,9.106984969053823,74.52244763,730.0873252,7459.129515,2056.54
2008,Bangladesh,BGD,42.6209140325589,17.6588584820757,24.9620555504832,5.17827687820651,26.2022714003991,24.7270013036793,16.124366972693,4.5299999713897705,17.5956955421992,6.0137897592329015,8.901944894651525,94.31758367,847.6846772,6764.189183,1909.26
2009,Bangladesh,BGD,40.092796223023,16.9401329056133,23.1526633174097,5.09374516609514,26.2060570157536,25.2955721814431,16.4801860604835,5.0,17.1046290519632,5.045124794177158,5.423472361746806,64.02194964,1008.650896,5338.612943,1198.27
2010,Bangladesh,BGD,37.8028426708321,16.0241126856916,21.7787299851405,5.07532583559895,26.2466561760577,24.9564767264585,16.1212283592006,3.38000011444092,17.0011812592919,5.571788188391791,8.126676391699196,79.04077178,1224.66425,7534.779583,1515.63
2011,Bangladesh,BGD,47.4208498356898,19.9220749554939,27.4987748801959,5.0974466876342,27.4209733686034,25.0452996007551,15.9967342498947,3.7300000190734868,16.8099867573503,6.46437912277722,11.395165155239994,93.70575127,1413.757637,7953.6269,1702.39
