país Code,"tiempo Code","NY.GDP.MKTP.KD","NE.TRD.GNFS.ZS","NE.EXP.GNFS.ZS","NE.GDI.FTOT.ZS","NE.CON.GOVT.ZS","NE.IMP.GNFS.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","FR.INR.RINR","FP.CPI.TOTL","FM.LBL.BMNY.GD.ZS","FM.LBL.BMNY.ZG","SL.UEM.TOTL.NE.ZS","SL.UEM.TOTL.ZS","SL.EMP.TOTL.SP.NE.ZS","SL.EMP.TOTL.SP.ZS"
SWE,"YR1991","292490814556.963","51.0896520485887","26.0947222515368","26.0690557670829","25.9866231253841","24.994929797052","25.419589206063","16.6930861559863","","75.1087564434232","40.5254441361175","4.15408147609757","3.24000000953674","3.24000000953674","71.4599990844727","64.8099975585938"
SWE,"YR1992","289102037155.611","50.7720887895647","25.9575951232118","22.9477171962591","27.0522731711055","24.8144936663529","24.4692046347412","15.8686683426289","14.0420836901638","76.8921141591384","41.9185718328928","3.27731767632731","5.71999979019165","5.71999979019165","68.2099990844727","61.7159996032715"
SWE,"YR1993","283130298151.25","58.1349272187468","30.4102380632048","19.3740456265185","27.3765144033096","27.724689155542","24.1130472922792","16.2261138907307","9.67371999706046","80.5277063755107","43.6213914803068","4.16726696441435","9.32999992370605","9.32999992370605","64.1699981689453","57.8660011291504"
SWE,"YR1994","294257241961.393","63.8416317578483","33.5983064955583","19.4425378121493","26.3906139745805","30.24332526229","25.1053206075294","17.7294546302306","7.85857445160692","82.2656054131643","41.197347476804","0.694858407385637","9.57999992370605","9.57999992370605","63.3300018310547","57.1450004577637"
SWE,"YR1995","305836832131.49","68.6004574220424","37.1240310199484","19.7153515389614","25.48163834919","31.476426402094","26.920823821189","19.7590379137947","7.05954183142293","84.2853482548","39.3626299512317","3.09141280325912","8.89999961853027","8.89999961853027","62.939998626709","58.0309982299805"
SWE,"YR1996","310667391570.025","66.5385083268845","36.028866805627","20.2325762075286","25.8357808134596","30.5096415212576","26.2211758740648","19.2337691943608","7.64133583661881","84.7347003997609","41.7636884249609","8.86316277532922","9.55000019073486","9.55000019073486","55.4599990844727","57.4900016784668"
SWE,"YR1997","320206516443.849","72.0087101401916","39.1319850981967","20.0029893482488","25.3117201501122","32.876725041995","26.3133471957032","19.5458926013142","5.45132115889976","85.2926023577901","40.3589855558796","1.12326959816615","10.3599996566772","10.3599996566772","54.4900016784668","56.5629997253418"
SWE,"YR1998","334013297425.391","74.3403912388145","40.0209948883021","20.8696621541591","25.3735766325035","34.3193963505124","26.3954517268528","19.8616752713195","5.59654267259592","85.0647579532023","38.2111611984737","-0.436546982355369","8.9399995803833","8.9399995803833","54.7999992370605","57.1860008239746"
SWE,"YR1999","348199457231.41","74.8983658159395","40.1114332826671","21.5258243121863","25.3955188223064","34.7869325332723","26.0246659960238","19.6846182855861","4.43729448729047","85.4579066416506","39.4212128625644","8.5140703823011","7.6100001335144","7.6100001335144","56.25","58.1959991455078"
SWE,"YR2000","364795858131.684","81.4775319321754","43.2584584604537","22.259816763982","24.5318918954833","38.2190734717217","26.3730555102234","20.1587441983497","4.20343542764314","86.2262960544623","37.7814763276888","1.92048536391652","5.46999979019165","5.46999979019165","57.1100006103516","58.9580001831055"
SWE,"YR2001","370083569053.714","80.5882900359504","42.9207450800425","22.6799124985871","24.7371622590446","37.6675449559078","26.0144160854341","19.2174398927041","3.1678038966523","88.3008648169117","44.4895637750222","22.4286821236818","4.73000001907349","4.73000001907349","59.7700004577637","59.6389999389648"
SWE,"YR2002","378214012929.902","77.2186507056824","41.2470904455775","22.0525751865809","25.4515967142048","35.9715602601049","25.6148550456908","18.6714497278258","4.18016669564915","90.2068232098235","46.409702209414","8.25757092878259","4.96999979019165","4.96999979019165","59.5499992370605","59.3839988708496"
SWE,"YR2003","386950040254.662","75.2455936655162","40.3257049709808","21.6456060936154","25.7127015543631","34.9198886945354","25.1999314975009","18.0807020100601","3.26180211941042","91.9438957260577","46.5714166294625","4.41188177928152","5.55000019073486","5.55000019073486","59.2700004577637","59.060001373291"
SWE,"YR2004","403731506887.751","78.5911495819721","42.6906424082589","21.8820335284436","25.0213236265783","35.9005071737132","25.06916486997","17.3903273061847","3.83670104761936","92.2874531293479","45.9866002118583","3.36975669575135","6.69000005722046","6.69000005722046","58.3499984741211","58.1689987182617"
SWE,"YR2005","415273396287.166","83.7514776951197","45.01548061554","22.4115643183326","24.8966508988992","38.7359970795797","24.9004720095118","17.1557290218469","2.82621826614644","92.705672967515","51.7222803159922","16.4819325245292","7.48999977111816","7.48999977111816","58.1599998474121","58.1609992980957"
SWE,"YR2006","434636654376.703","88.1954134776664","47.4874330005625","23.2293760899622","24.6292687114709","40.7079804771039","25.2546074726717","17.1514075167507","1.88744934931714","93.9666691462309","55.8596878335556","15.0215300021636","7.07000017166138","7.07000017166138","58.8800010681152","58.814998626709"
SWE,"YR2007","449584772840.507","89.1620822111883","47.6102603456699","24.1664703979607","24.1465624263992","41.5518218655185","25.4440140253316","17.1817540579433","","96.0453705157769","62.2813511398744","18.5897781453118","6.15999984741211","6.15999984741211","59.7599983215332","59.7099990844727"
SWE,"YR2008","447559127029.566","92.5641504308151","49.0869229216005","24.5463627697008","24.6375342039409","43.4772275092146","24.4832959338009","15.7901538953882","","99.3464970644714","62.2504251589785","2.71906858795869","6.23000001907349","6.23000001907349","59.9500007629395","59.8160018920898"
SWE,"YR2009","428135998219.291","81.5088560374264","43.4539788044118","22.4937873503479","25.9990296803482","38.0548772330147","22.4029807549278","13.7483400261047","","98.8552678342659","63.8959680854025","0.505098058416057","8.35000038146973","8.35000038146973","58.0200004577637","58.0050010681152"
SWE,"YR2010","453619110971.171","84.2483771880363","44.6788529489048","22.4904094800146","25.0323694915548","39.5695242391316","23.7527287054638","14.7205841983154","","100","61.8330744426949","3.50297512121341","8.60999965667725","8.60999965667725","64.4599990844727","57.6949996948242"
